id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
58cc747a-c2b2-4423-901e-1158c67ca1ac,Presenting diameter of full flexed head:,Suboccipito-bregmatic diameter,Suboccipito-frontal diameter,Occipito-frontal diameter,Occipito-posterior position,-1,single,,Gynaecology & Obstetrics,
4ad93307-ecda-4cdc-82af-b0a383189b4e,Which of the following is not a soft tissue marker of Down syndrome on USG ?,Increase NT,Absent nasal bone,Exomphalos,Polydactyly,-1,single,,Gynaecology & Obstetrics,
aba11232-5ef7-45a2-908e-fe1d013e546d,"DCDA twins, 38wks, first twin breech mother has BP 140/96, 1+ proteinuria what's the management",Immediate LSCS,Induction at 40 weeks,Immediate induction and delivery,Induction if signs of preeclampsia,-1,single,,Gynaecology & Obstetrics,
9d7a8a93-2012-4dcd-9fe3-234f5c83548c,Tdap vaccine is give in between which weeks of pregnancy?,10-16 weeks,17-22 weeks,22-26 weeks,27-36 weeks,-1,single,,Gynaecology & Obstetrics,
a36b2422-0c84-4bd0-b34b-7a914a66c51f,Battle door inseion of placenta ?,Cord attached to the margin of placenta,Placenta attached to the margin,Cord attached to the membranes,Placenta attached to the centre,-1,single,,Gynaecology & Obstetrics,
7fc74423-bb14-4313-b1ec-be2c839f2e2c,Cardiac output in pregnancy increases from which week of gestation,5 weeks,15 weeks,25 weeks,35 weeks,-1,single,,Gynaecology & Obstetrics,
adb3080e-07ec-4933-84fa-2e25204cbe42,Treatment of IBI ca cervix ?,Weheim's hysterectomy,Radiotherapy,Chemotherapy,Chemoradiotherapy,-1,single,,Gynaecology & Obstetrics,
31c91056-a687-42a0-9724-572f5756e034,Prolactin secreted maximum at-,24 hrs after delivery,REM,2 hrs running,24 hour after Ovulation,-1,single,,Gynaecology & Obstetrics,
e16a86df-82f8-45b5-b50d-fc2dabcdea9a,Best parameter for estimation of fetal age by ultrasound in 3rd trimester is ?,Femur length,BPD,Abdominal circuference,Intraoccular distanc,-1,single,,Gynaecology & Obstetrics,
962283e0-6717-4ea8-a023-b4cf030d497a,When is folic acid staed in pregnancy ?,4 weeks prior to conception,8 weeks prior toconception,4 weeks after conception,8 weeks after conception,-1,single,,Gynaecology & Obstetrics,
35518c94-cd20-4894-97f3-d6c4fc6ef751,Which of the following is an absolute indication for caesarian section?,Central placenta pre,Breech presentation,Bad obstetric history,Previous caesarian delivery,-1,single,,Gynaecology & Obstetrics,
4ba9f40a-1ec7-4bec-a4dc-4d98c44145bd,Earliest sign after IUFD is ?,Overlapping of skull bones,Hyperflexion of spine,Gas in great vessel,Over crowding of ribs,-1,single,,Gynaecology & Obstetrics,
3582af4d-9873-40fd-9589-8ccffa497dcf,Betamethasone given to preterm patient for all except ?,Fetal lung maturity,Decrease intraventricular hemorrhage,Prevents periventricular leukomalacia,Prevent PPH,-1,multi,,Gynaecology & Obstetrics,
c51f9123-37d9-44e0-b0d5-36fa71c08a28,Leydig cells of fetus testis secretes,hCG,LH,Testosterone,Mullerian inhibiting substance,-1,single,,Gynaecology & Obstetrics,
1d565d66-f75f-4a0b-a9c6-c9f929d37872,True about cephalhematoma is :,Crosses the suture lines,Always present at bih,Ventouse delivery is a risk factor,All of the above,-1,multi,,Gynaecology & Obstetrics,
572c9525-3ac5-4fbe-a349-f95ffb3168dd,Symptoms of menopause are all except ?,Hot flushes,Night sweats,Decrease libido,Intermittent hypotension,-1,multi,,Gynaecology & Obstetrics,
5dd1f329-f473-47c4-83d9-a085e6fa10ca,Sequence of lochia ?,Rubra - Serosa - Alba,Serosa - Alba - Rubra,Alba - Rubra - Serosa,Alba - Serosa - Rubra,-1,single,,Gynaecology & Obstetrics,
47378580-f489-49c2-8773-48ac11491262,Drug of choice for pneumocystis carinii in pregnancy?,SMZ/TMP,Primaquine,Dapsone,Pentamidine,-1,single,,Gynaecology & Obstetrics,
47a381e4-7c67-4d3d-a2a4-cf1eff66ed4a,Hematuria in previous LSCS patient indicates -,Urinary tract infection,Placenta pre,Rupture uterus,None,-1,multi,,Gynaecology & Obstetrics,
0d439421-f07b-4124-9b33-f3c8e810cc8c,Diagnosis of adenomyosis is made by ?,Histopathology,Ultrasound,MRI,Laproscopy,-1,single,,Gynaecology & Obstetrics,
7ee71340-a3b7-48b9-854b-c20b132a68bc,Following is true regarding the management of intrauterine fetal death except ?,In 50% of cases spontaneous expulsion occurs in 2 weeks,Fibrinogen levels should be checked weekly,Delivery by medical induction is preferred if spontaneous expulsion does not occur,Caesarian section has limited place in management of intrauterine fetal death,-1,multi,,Gynaecology & Obstetrics,
f080af99-e39a-4e54-95d8-52fd5f38b8df,Which of the following is not an estrogen-dependent pubeal change?,Hair growth,Menstruation,Vaginal Cornification,Cervical mucus,-1,single,,Gynaecology & Obstetrics,
602ecdce-79b0-45b3-86b0-a9181e6e9d7e,Definitive indication of LSCS ?,Mento ant,Contracted pelvis,Occipito posterior,Veex,-1,single,,Gynaecology & Obstetrics,
599815fc-a87e-4100-adee-5447eeb734bd,Following is given to a patient with pre term labour exept -,Glucocoicoids,Tocolytic drugs,Antibiotics,Beta blocker,-1,single,,Gynaecology & Obstetrics,
16530c58-24a9-4cd7-983c-3776a1ce3bac,Cryptomenorrhoea is a feature of ?,Vaginal atresia,Turner syndrome,Empty sella syndrome,Gonadal agenesis,-1,single,,Gynaecology & Obstetrics,
8b85c49e-3095-41aa-a385-e363e12ec4ef,Invalueable tool in the diagnosis of chronic pelvic pain is ?,Endometrial biopsy,Ultrasound,Laparoscopy,Colposcopy,-1,single,,Gynaecology & Obstetrics,
581a28e1-5839-4582-86de-7de19830b207,Upper two -third anterior vaginal wall prolapse is ?,Cystocele,Urethrocele,Rectocele,Enterocele,-1,multi,,Gynaecology & Obstetrics,
bf67bde4-56b3-48b4-97bc-8e8eddf5be19,MVA syringe is used for ?,First trimester MTP,2nd trimester MTP,Vacuum delivery,All of the above,-1,multi,,Gynaecology & Obstetrics,
515c1a69-a68e-41e2-b9bf-7d95fc401e5d,Most common risk factor for rupture of scarred uterus is,Use of oxytocin in labour,Grand multiparity,Forceps application,Obstructed labour,-1,single,,Gynaecology & Obstetrics,
15722d97-d4ad-4801-83f4-c96b8e1866d2,"For uterine prolapse in pregnancy, Ring pessary can be inseed upto ?",12 weeks,14 weeks,16weeks,18 weeks,-1,single,,Gynaecology & Obstetrics,
ab134b6c-459e-4d1d-9002-be6bb1f558dd,Azoospermia with normal FSH would indicate ?,Hypothalamic failure,Testicular failure,Obstruction of vas defrens,All of the above,-1,multi,,Gynaecology & Obstetrics,
84e33e6e-5d2f-4fdf-b54a-4775bd4b7bb9,Investigation of choice in post menopausal bleeding?,PAP smear,Laproscopy,Fractional curettage,Ultrasound,-1,single,,Gynaecology & Obstetrics,
507498fb-e906-4a1a-b47d-9bf817deb2ca,Pregnancy is contraindicated in which cardiac disease -,Mitral stenosis,Primary pulmonary hypeension,VSD,Mitral regurgitation,-1,single,,Gynaecology & Obstetrics,
7ca72088-e5a2-4db0-be8f-372423707fcb,There is overlapping of skull sutures which can be reduced with gental pressure. What is the grade of moulding ?,Grade 1,Grade 2,Grade 3,Grade 4,-1,single,,Gynaecology & Obstetrics,
2666e146-1151-443a-857c-7a0e56e0467d,RDA of iodine in lactation in microgram-,150,220,100,250,-1,single,,Gynaecology & Obstetrics,
b36e2513-f25e-4c2e-8bd6-2d109e242de8,"After IUFD, when does the mother develop DIC -",48 hours,1-2 weeks,3-4 weeks,6 weeks,-1,single,,Gynaecology & Obstetrics,
bc1ce5ab-f873-4654-8f35-b1c97ea4d23c,Call Exner bodies seen in ?,Granulosa cell tumors,Serous cystadenomas,Dysgerminoma,Krukenberg tumor,-1,multi,,Gynaecology & Obstetrics,
5da02a77-be63-48ca-98a1-f8aa044516a0,B-Lynch suture is applied on ?,Cervix,Uterus,Fallopian tubes,Ovaries,-1,multi,,Gynaecology & Obstetrics,
83ea98b1-15fe-4b7a-8313-e09a12d16578,Caput succedeum is said to occur in baby?,Within 24 hrs,2-3 days,2-3 weeks,2-3 months,-1,single,,Gynaecology & Obstetrics,
a384d6bb-a8e6-4c56-898e-64bdc0a07599,Most common cause of early aboion -,Genetic,Maternal,Immunologic,Anatomic abnormalities,-1,single,,Gynaecology & Obstetrics,
468b6366-5ba6-49f6-ac89-cadd1960b678,45 years female with 3 months menorrhagia. USG showing 2 cm submucosal fibroid.Treatment options.,Ocp for 3 months,Progesterone for 3 months,Endometrial sampling,Hysterectomy,-1,multi,,Gynaecology & Obstetrics,
71d17910-470c-4de8-ba12-516734283b60,LH surge is due to ?,Progesterone,Estrogen,AMH,All of the above,-1,multi,,Gynaecology & Obstetrics,
e35fcd26-0fed-4ad4-bd7e-f9a188ef2c65,A 27-year-old female with placenta pre had severe bleeding. What is the most likely outcome post delivery?,Galactorrhea,Diabetes,Absence of menstrual cycle,Cushing syndrome,-1,single,,Gynaecology & Obstetrics,
dc43890a-ea00-430c-9e9c-e7f8bad59cd2,Crying of fetus in utero is called as ?,Vagitus uterinus,First cry,Utero vaginalis,Vagitus vagina,-1,multi,,Gynaecology & Obstetrics,
5624d7aa-3bef-4035-847e-aafce57313f0,Continence & incontinence of urine is seen in ?,VVF,Vesicoperitoneal,Ureterovaginal,Uretrovaginal,-1,single,,Gynaecology & Obstetrics,
b5a1e9d4-1185-40e1-8bd0-a7b4e7d99066,Most common site for Feilization is-,Ampulla,Isthmus,Intramural,Fimbriae,-1,single,,Gynaecology & Obstetrics,
43f95994-4a32-49e6-acc5-e97bdaa3c9cd,Which of the following has maximum diabetogenic potency in pregnancy ?,Estrogen,Progesterone,Coisol,Prolactin,-1,single,,Gynaecology & Obstetrics,
686936bf-94d3-49ca-baca-c33b467de13f,Complications of pre eclampsia are all except ?,Post datism,DIC,Blindness,None of the above,-1,multi,,Gynaecology & Obstetrics,
892c7f88-1b7e-4fcb-91cd-84c6746e8eaa,Ovarian cycle can be correlated with all except ?,Endometrial sampling,Vaginal cytology,Blood hormonal levels,Estrous cycle,-1,multi,,Gynaecology & Obstetrics,
7a9f708b-8f35-4cca-934b-bb454871ab00,Most common cause of annular cervix is ?,Obstructive labor,Prepitate labor,Primary cervical dystocia,Iatrogenic,-1,single,,Gynaecology & Obstetrics,
e25ec170-5df7-4f89-8c3b-f1b7c9c4cf18,Contracted pelvis is defined as shoening of one or more planes by -,0.5 cm,1 cm,1.25 cm,1.5 cm,-1,single,,Gynaecology & Obstetrics,
02c35daa-f2c3-4125-8e39-2ec12c34af18,Least common site of ectopic pregnancy in fallopian tubes is ?,Interstitium,Ampulla,Infundibulum,Isthumus,-1,multi,,Gynaecology & Obstetrics,
6d9631d7-ee8a-4291-9437-5cf4155ca69f,Not seen in endometriosis ?,Vaginal discharge,Dysparenuria,Infeility,Chronic pelvic pain,-1,single,,Gynaecology & Obstetrics,
49716f28-3f99-4c4d-9ebc-b026e3fa754e,Dysgerminoma spreads mainly ?,Hematogenous route,Lymphatic route,Direct spread,Does not spread,-1,single,,Gynaecology & Obstetrics,
e1ffe401-3fe2-45aa-a02a-0ada1d276a4a,When is copper T inseed ?,3 days after periods are over,Within 10 days of sta of menstrual cycle,PID just before menstruation,Just after menstruation,-1,single,,Gynaecology & Obstetrics,
d7f3501b-c6c6-4818-a5fe-9c2c6abc46b2,Cryptomenorrhea occurs in ?,Fibroids,PCOS,Imperforate hymen,All of the above,-1,multi,,Gynaecology & Obstetrics,
a74ab698-3818-4f1c-b2e4-5a059b1a8946,Propulsive stage in labour in multipara,10 minutes,20 minutes,40 minutes,1 hour,-1,single,,Gynaecology & Obstetrics,
d475fe25-44f3-4ece-8ba4-898fd8e53b8c,Term placenta weight to Baby weight ratio is ?,1:03,1:04,1:05,1:06,-1,single,,Gynaecology & Obstetrics,
883cbc7c-f334-4218-83bf-fb5b9d45397f,Drug not used commonly for menorrhagea ?,Methergin,Clomiphene,GnRH,NSAIDS,-1,single,,Gynaecology & Obstetrics,
d8da6a34-1218-4d8d-b30c-52da835187ff,Raloxifene decreases the risk of which cancer?,Breast,Cervix,Ovary,All of the above,-1,multi,,Gynaecology & Obstetrics,
fc70c16b-2236-49f9-a0c7-3ce8f3eca11d,"Surgical excision of corpus luteum before weeks of gestation, results in miscarriage",7-Jun,11-Sep,12-Nov,14-Dec,-1,single,,Gynaecology & Obstetrics,
1724301e-2e08-4fd2-acea-260d2bdf7572,"In a postmenopausal female, which hormone increases?",FSH,Estrogen,GH,None of the above,-1,multi,,Gynaecology & Obstetrics,
27f30388-3303-4d46-9deb-4341c1fad04a,After ejaculation semen liquefies in ?,10 minutes,30 minutes,75 minutes,120 minutes,-1,single,,Gynaecology & Obstetrics,
8d2d5bc1-d091-4668-b136-60b57f3967fb,Mediolateral episiotomy is preferred because ?,Reduces damage to anal sphincter and anal canal,Less blood loss,Easy to suture,Easy technique,-1,single,,Gynaecology & Obstetrics,
663bea94-fb6a-4021-b89b-89b5cbd8ad51,Speilberg criteria is used for ?,Ovarian pregnancy,Ovarian malignancy,Cervical pregnancy,Cervical malignancy,-1,single,,Gynaecology & Obstetrics,
311cfcbe-2628-426a-8f39-14d7b81f5483,"If fetus is having hypoxia, which of the BPP parameter will be affected last ?",Fetal tone,Fetal breathing movement,Fetal movements,NST,-1,single,,Gynaecology & Obstetrics,
f7ca0819-b65e-45d6-a613-d58e7716551c,Which drug used for endometriosis can cause increase in hepatic enzyme & adverse lipid profile -,0. C. pills,GnRh analogues,Both of the above,None of the above,-1,multi,,Gynaecology & Obstetrics,
8620087d-6035-422c-bf96-c87e1e78fda1,How much time after reduced movement fetal hea stops?,1 hr,2 hrs,6 hrs,12 hrs,-1,single,,Gynaecology & Obstetrics,
0dea02bf-72b6-496d-b1ea-0dbf7a6170f8,What size of the hegar's dilator if passed through the internal os can be labeled as cervical incompetence?,4,6,8,10,-1,single,,Gynaecology & Obstetrics,
b08bb82d-2022-4f05-941a-6580211d8bfa,Uterus post pregnancy becomes a pelvic organ in?,4 weeks,6 weeks,12 weeks,2 week,-1,single,,Gynaecology & Obstetrics,
98c4dfa6-f0d1-43e3-aca3-06aaf9eaebd6,"In ca Cervix treatment, point A receives ?",3000 cGy,5000 cGy,7000 cGy,"10,000 cGy",-1,single,,Gynaecology & Obstetrics,
4471ee41-ba69-44e1-ba78-fa10ff2aa93a,"A primigravida with 36 weeks of pregnancy is in labor with 3 cm dilatation and minimal uterine contraction. On rupture of membranes, fresh bleeding is noted with late fetal deceleration up to 50 beats/min. The patient was taken for LSCS but fetus could no be saved. No abruptio or placenta pre was seen. The likely diagnosis is ?",Placenta pre,Revealed abruptio,Circumvallate placenta,Vasa pre,-1,multi,,Gynaecology & Obstetrics,
4c58c051-3a3e-4a2c-a427-c90d40750c48,Pregnant women going for long journey & prolonged sitting is associated with danger of ?,Thromboembolism,Seat belt compression,Preterm labor,Bleeding,-1,single,,Gynaecology & Obstetrics,
5efbf1a0-2100-4ed6-a3df-3cd5f521d07f,Menopause is defined as ?,Presence of hot flushes,Cessation of menses for 1 year,Cessation of menses for 6 months,Cessation of menses for 2 years,-1,single,,Gynaecology & Obstetrics,
305838be-517c-4b00-878d-5dd7afa2eb05,Definitive treatment for preeclampsia?,Delivery of baby,Antihypeensive drugs,Rest,Diet,-1,single,,Gynaecology & Obstetrics,
81e939ad-0532-4fcc-a2c3-4a962ab55163,Estimation of fetal hemoglobin is done by ?,Gerhard test,Kleihauser-Betke Acid Elution Test,Grinders test,Simpsons test,-1,single,,Gynaecology & Obstetrics,
8a2442dd-a40e-4f6c-89fd-8c7b6c682699,"A 28-year-old primigravida with 33 weeks of pregnancy suddenly complains of headache, oliguria, and blurred vision. Her BP is 180/110 and urine albumin is +3. The line of fuher management is ?",Wait and watch,LSCS,Induction of labor,Anticonvulsant + antihypeensive therapy,-1,single,,Gynaecology & Obstetrics,
a6c7a03f-4485-4d2f-b8f3-dbadf6622a5f,MC presenting symptom of fibroid is ?,Menorrhagia,Infeility,Lump,Compression,-1,single,,Gynaecology & Obstetrics,
609b692b-fbfb-4fec-9587-2695e6c6b258,Engaging diameter in face presentation is -,Suboccipitobregmatic,Mentoveical,Submentobregmatic,Occipitofrontal,-1,single,,Gynaecology & Obstetrics,
7056a6ca-a583-48ba-8120-9990b3d61ab7,Triad for clinical diagnosis PID includes all except ?,Fever,Lower abdominal pain,Cervical motion tenderness,Bilateral adnexal tenderness,-1,multi,,Gynaecology & Obstetrics,
d15790f6-5e27-4e24-aa4b-6a5f5e7733e6,Rarest presentation is?,Cephalic,Breech,Shoulder,Veex,-1,single,,Gynaecology & Obstetrics,
eadb3da5-ac58-422c-9c91-b465ba9ad60a,Trial of labour in previous casearian section can be done in ?,Placenta pre type III,Previous two classical casearian section,Suspected CPD,Previous caesarian section with adequate pelvis,-1,single,,Gynaecology & Obstetrics,
ddb8c4d6-e9b1-45b2-a649-a592a320e031,Uterine rupture is most common in -,Ant lower segment,Classical C.S,Placenta pre,Normal labour,-1,single,,Gynaecology & Obstetrics,
4934edb2-72cc-4cfa-8485-1864d9d29ed7,Which of the following is not an ideal candidate for IUCD inseion ?,Previous LSCS,Lactating mother,Acute PID,All of the above,-1,multi,,Gynaecology & Obstetrics,
c4fb8c2f-c279-4b6c-a924-bd79120416ca,Androgenic XX chromosome is ?,Paial mole,Complete mole,Turner's syndrome,Stein leventhal syndrome,-1,single,,Gynaecology & Obstetrics,
0d11023b-2daa-4cd7-a54b-7dddb436abfd,Hematoma during labour is not due to ?,Improper haemostasis,Extension of cervical laceration,Rupture of paravaginal venous plexus,Obliteration of dead space while suturing vaginal wall,-1,multi,,Gynaecology & Obstetrics,
2f3e014b-e1f2-4238-9fa6-4ec8dfb6f1f4,Causes of male infeility ?,Idiopathic,Varicocele,Yq 11 micro deletion,All of the above,-1,multi,,Gynaecology & Obstetrics,
df6636c1-67be-4609-8930-0fbaf696eda3,Rate of turnover of amniotic fluid is ?,500 cc/h,1L/hr,1500 cc/h,2L/h,-1,single,,Gynaecology & Obstetrics,
9849cfef-1e76-43f5-994a-0466ce408bcc,Copper IUCD as a contraceptive measure can be used maximum till what time after contact ?,2 days,3 days,4 days,5 days,-1,single,,Gynaecology & Obstetrics,
f20db22a-9958-4e24-861d-f0c79fac1eed,The shoest conjugate is ?,True conjugate,Obstetric conjugate,Diagonal conjugate,Anatomical conjugate,-1,multi,,Gynaecology & Obstetrics,
c43e04ed-5f5e-4806-8f5e-c13e1de58ea0,Utero-placental circulation is established days after feilization ?,5,10,15,20,-1,single,,Gynaecology & Obstetrics,
e95f5fc5-8066-4c8a-adda-7229043c9a9c,History of yellow green watery discharge and pruritus?,Trichomonas vaginalis,Candida,Bacterial vaginosis,Clamydia tracomatis,-1,single,,Gynaecology & Obstetrics,
ad200470-1c8b-44a4-a6fa-f386b4a62b89,"A mother brought her 16-year-old daughter to Gynaecology OPD with a complaint of not attending menarche. She gives H/O cyclic abdominal pain. On fuher examination midline, abdominal swelling seen. Per rectal examination reveals a bulging mass in the vagina. Which of the following can be most commonly seen?",Imperforate hymen,Transvaginal septum,Vaginal agenesis,MRKH,-1,single,,Gynaecology & Obstetrics,
f5dfc2d3-c45c-4df9-9895-8127aaed253c,In pregnancy which of the following level is altered mostly:,Total T3,Free T3,Free T4,TSH,-1,single,,Gynaecology & Obstetrics,
eabc8ef3-9f4d-4fc2-bdb2-acbcb3987bde,Modified BIOPHYSICAL PROFILE is ?,NST + FETAL TONE,FETAL TONE + AFI,NST + AFI,NST+ FETAL TONE + AFI,-1,single,,Gynaecology & Obstetrics,
16d66c2d-149f-46ac-b9f1-ee7a14e1c24d,Dose of mifepristone in MTP is ?,10mg,20 mg,100mg,200mg,-1,single,,Gynaecology & Obstetrics,
f92d3c5e-cc61-43de-b89d-acbeadbd5c8f,Preferred IUD for menorrhagea ?,NOVA T,Cu IUD,Mirena,Gyne fix,-1,single,,Gynaecology & Obstetrics,
a90b6e1d-180a-4c07-a98c-1dc20a0bc1a0,Amenorrhoea following hyperprolactinoma is caused by ?,Inhibition of GnRH pulse secretion,Inhibition of adrenal steoridogenesis,It causes hypergonadotropic hypogonadism,It leads to formation of ovarian cysts,-1,single,,Gynaecology & Obstetrics,
99ffa629-17b7-4dd0-9a50-2f48b31f2643,LNG content of Mirena is -,20 gms,20 mg,52 gms,52 mgs,-1,single,,Gynaecology & Obstetrics,
97e3c218-8fc9-4529-901c-223b288fef37,MC hea disease in pregnancy is ?,MS,AS,MR,WPW syndrome,-1,single,,Gynaecology & Obstetrics,
c8d99aaf-df1a-498e-9cb0-7a55afbe45d8,Outcomes of occipito posterior position?,Deep transverse arrest,Occipito sacral arrest,Face to pubis delivery,All of the above,-1,multi,,Gynaecology & Obstetrics,
859cb4e8-73ec-4c38-9106-09a645e5fded,Most common cause of tenth day post paum bleeding?,Retained bits of membrane,Infection,Endometritis,Blood coagulopathy,-1,single,,Gynaecology & Obstetrics,
4c0fca5d-c997-4a2b-9e76-dfed2ff0e87b,Couvelaire uterus is seen in ?,Placenta pre,Abruptio placentae,Plencenta accrete,Velamentous placenta,-1,single,,Gynaecology & Obstetrics,
73875160-ae82-4333-846a-5c1f935b8007,Chromosome number of paial hydatidiform mole is-,46 XX,45 XO,46 XXY,69 XXX,-1,single,,Gynaecology & Obstetrics,
bfcd010b-7615-4554-b463-e70ffad6819d,MENOPAUSE is diagnosed by ?,Estradiol <20 pg/ml,Progesterone <40 ng/dl,FSH>40 IU/L,LH > 20 IU/L,-1,single,,Gynaecology & Obstetrics,
8ab33bc0-4e21-4ee1-9045-208bae2c3aca,A pregnant female had Meconium stained liquor and underwent emergency LSCS. A few days later her condition deteriorated. USG showed edematous bowels. What's the cause?,Meconium peritonitis,Paralytic ileus,Adhesive intestinal obstruction,Intra-abdominal abscess,-1,single,,Gynaecology & Obstetrics,
710ec5df-3fe2-41fb-8a7f-822803ddb3f3,Investigation of choice for endometriosis ?,USG,CA 125,MRI,Laparoscopy,-1,single,,Gynaecology & Obstetrics,
91961699-f971-4975-8032-e50d368d2594,Not true in complete hydatidiform mole ?,Triploid,Absence of fetal pas,Diffuse trophoblastic hyperplasia,"Beta HCG > 50,000",-1,multi,,Gynaecology & Obstetrics,
7301f2fc-befd-41aa-8401-b1f4cd4c2e71,The most common Mullerian anomaly is?,Mullerian agenesis (RMKH),Unicornuate uterus,Bicornuate uterus,Septate uterus,-1,single,,Gynaecology & Obstetrics,
b9f6332c-a7db-40bf-9cb6-42a377e106d6,Maternal age is not associated with -,Preterm labour,Post maturity,Aneuploidy,Hydatidiform mole,-1,single,,Gynaecology & Obstetrics,
92c0ccb1-76f8-45fb-9ef6-f2321d634962,USG of 28 weeks gestation showing oligohydramnios is likely to be due to ?,Gastroinstestinal obstruction,Renal pathway obstruction,Anencephyaly,Neuromuscular disorder,-1,single,,Gynaecology & Obstetrics,
3edd89ef-1a49-4c56-b9af-af987c85d993,Bilateral ovarian carcinoma + capsule + ascitis+ paraaoic LN. Which stage ?,1C,2C,3C,4C,-1,single,,Gynaecology & Obstetrics,
ecd47bdb-3b98-4711-8bba-a78138fdb8c4,Patient with recurrent aboion diagnosed to have antiphospholipid syndrome. What will be the treatment?,Aspirin only,Aspirin + Low molecular weight Heparin,Aspirin + Low molecular weight Heparin + Prednisolone,No Treatment,-1,single,,Gynaecology & Obstetrics,
0844b4f8-d28c-44ca-bcc8-e92ad98575ae,Role of lactobacilli in vaginal secretions,To maintain alkaline pH,To maintain acidic pH,Nutrition,None,-1,multi,,Gynaecology & Obstetrics,
6b5a3532-95ec-465d-b39d-67f6e113d7be,Day 20 of menstrual cycle falls under which phase?,Menstrual phase,Follicular phase,Ovulation phase,Luteal phase,-1,multi,,Gynaecology & Obstetrics,
ffabfacb-165b-4551-a6b1-6b185eb8ac76,Which pelvis is associated with DTA ?,Android,Antrhropoid,Platypelloid,Gynaecoid,-1,single,,Gynaecology & Obstetrics,
9cf1496f-fdf8-4572-b0b1-4ba1b5694f6e,Treatment of simple hyperplasia of endometrium is ?,Progesterone,Estrogen,Hysterectomy,Cryosurgery,-1,single,,Gynaecology & Obstetrics,
a4953062-289a-41a7-b193-1f3e761ba3b5,What is the stage of carcinoma cervix involving body of uterus -,Stage I,Stage II,Stage III,Stage IV,-1,single,,Gynaecology & Obstetrics,
2514dc56-ce96-4d65-ab19-1ce03bae5a0b,The prostaglandin most commonly used at term for induction of labor is ?,PGI2,PGE1,PGE2,PGF2a,-1,single,,Gynaecology & Obstetrics,
076472e8-43d1-49ac-a3a9-a4c70e04b651,Most common genital infection in pregnancy is ?,Candida,Gonorrhea,Trachoma,Cytomegalo virus,-1,single,,Gynaecology & Obstetrics,
db0a1cb5-70c1-468a-a2e0-27ef9c682f9e,Which of the following is not a physiological change of pregnancy in urinary bladder?,Edematous mucosa,Increased frequency at 14 weeks,Stress incontinence,Pressure on bladder in late pregnancy,-1,single,,Gynaecology & Obstetrics,
e8d2ea5a-6d8b-4390-898c-e6bc84222398,The pelvic inlet usually is considered to be contracted if its shoest anteroposterior diameter is less than -,12 cm,10 cm,8 cm,14 cm,-1,multi,,Gynaecology & Obstetrics,
4a1951e1-cba7-40f0-9535-6769bd86de90,Hegar sign is seen in how many weeks ?,6-10 weeks,10-14 weeks,14-18 weeks,18-22 weeks,-1,single,,Gynaecology & Obstetrics,
f20743eb-e07e-4421-8ebc-ae2803bb7234,Hydronephrosis is seen in which stage of Ca cervix?,2a,2b,3a,3b,-1,single,,Gynaecology & Obstetrics,
f11318f2-83dd-4a72-9484-3053972916ec,Assisted head delivery is done in ?,Brow presentation,Face presentation,Persistent occipito posterior position,Twin presentation 1522. % of,-1,single,,Gynaecology & Obstetrics,
